base	number	argnum	definition	note	definition_fin	note_fin
vastustaa	1	1	Thing protested	None	Asia, jota vastaan protestoidaan	None
vastustella	1	0	Entity protesting	None	Taho, joka protestoi	None
vastustella	1	1	Thing protested	None	Asia, jota vastaan protestoidaan	None
vatkata	1	0	Entity whisking	NULL	Taho, joka vispaa	NULL
vatkata	1	1	Thing(s) whisked	NULL	Asia(t), jo(i)ta vispataan	NULL
vatkata	1	2	Instrument	NULL	Väline	NULL
vauhdittaa	1	0	Entity causing rapid motion	NULL	Taho, joka aiheuttaa nopeaa liikettä	NULL
vauhdittaa	1	1	Entity or thing in motion	Can also be a process that happens faster	Taho tai asia, joka liikkuu	Voi myös olla prosessi, joka tapahtuu nopeammin
vauhkoontua	1	1	Entity getting carried away	NULL	Taho, joka riehaantuu	NULL
vauhkota	1	0	Entity speaking	NULL	Taho, joka puhuu	NULL
vauhkota	1	1	Utterance	NULL	Sanottu asia, repliikki	NULL
vauhkota	1	2	Hearer	NULL	Kuulija	NULL
vaurioittaa	1	0	Entity who harms	NULL	Taho, joka vahingoittaa	NULL
vaurioittaa	1	1	Entity or thing harmed	NULL	Taho tai asia, jota vahingoitetaan	NULL
vaurioitua	1	1	Thing damaged	NULL	Asia, joka vahingoittuu	NULL
vavahtaa	1	0	Entity startling	Experiencer	Taho, joka säpsähtää	Kokija
vavahtaa	1	1	Reason for startling	NULL	Säpsähdyksen syy	NULL
vavisuttaa	1	0	Entity or thing causing trembling motion	Agent or causer	Taho tai asia, joka aiheuttaa vapinaa	Agentti tai aiheuttaja
vavisuttaa	1	1	Entity or thing trembling	NULL	Taho tai asia, joka vapisee	NULL
vedellä	1	0	Entity drawing arg1	NULL	Taho, joka vetää arg1:tä	NULL
vedellä	1	1	Entity or thing drawn	NULL	Taho tai asia, jota vedetään	NULL
vedellä	1	2	DIR	direction or goal	DIR	suunta tai päätepiste
vedota	1	1	Entity or thing appealing	NULL	Henkilö tai asia, joka vetoaa	NULL
vedota	1	2	Entity or thing appealed to	NULL	Henkilö tai asia, johon vedotaan	NULL
veikata	1	0	Entity who supposes something	NULL	Taho, joka olettaa jotakin	NULL
veikata	1	1	Thing supposed	NULL	Oletettu asia	NULL
veikata	1	2	Attributive of arg1, how arg1 is supposed to be	(tags: rare)	Arg1:n ominaisuus, millaiseksi arg1 oletetaan	(tags: rare)
veistää	1	0	Entity carving	NULL	Taho, joka veistää	NULL
veistää	1	1	Thing carved	NULL	Asia, jota/joka veistetään	NULL
veistää	1	2	Material	NULL	Materiaali	NULL
velkaantua	1	1	Entity running into debt	NULL	Velkaantuja	NULL
velloa	1	1	Thing in motion	NULL	Asia, joka velloo	NULL
velvoittaa	1	0	Entity or thing obligating arg1	NULL	Taho tai asia, joka pakottaa arg1:n	NULL
velvoittaa	1	1	Entity or thing obligated	NULL	Taho tai asia, joka pakotetaan	NULL
velvoittaa	1	2	Obligation	NULL	Mihin pakotetaan	NULL
venyä	1	1	Entity getting longer	NULL	Pidentyvä asia	NULL
venähtää	1	1	Time frame or event stretching out	NULL	Ajanjakso, joka venyy	NULL
venähtää	1	2	New time frame stretched from arg1	NULL	Uusi ajanjakso, joksi arg1 venyy	NULL
verhota	1	0	Entity covering something	NULL	Taho, joka peittää jotain	NULL
verhota	1	1	Thing or entity covered	NULL	Asia tai taho, joka peitetään	NULL
verhota	1	2	Thing arg1 is covered with	Cloak, veil	Asia, jolla arg1 peitetään	Verho
verkostoitua	1	0	Entity building a network	NULL	Taho, joka verkostoituu	NULL
verottaa	1	1	Thing causing tiredness	NULL	Asia, joka aiheuttaa väsymyksen	NULL
verottaa	1	2	Entity being tired	Experiencer	Taho, joka on väsynyt	Kokija
verrata	1	0	Entity making comparison	NULL	Taho, joka vertaa	NULL
verrata	1	1	First item(s) to compare	NULL	Verrattava(t) asia(t)	NULL
verrata	1	2	Second item(s) to compare	NULL	Asia(t), johon/joihin verrataan	NULL
vertailla	1	0	Entity making comparison	NULL	Taho, joka vertaa	NULL
vertailla	1	1	First item(s) to compare	NULL	Verrattava(t) asia(t)	NULL
vertailla	1	2	Second item(s) to compare	NULL	Asia(t), johon/joihin verrataan	NULL
vertautua	1	1	Thing compared	NULL	Asia, joka vertautuu	NULL
vertautua	1	2	Thing compared to	NULL	Asia, johon vertautuu	NULL
vetäistä	1	0	Entity drawing arg1	NULL	Taho, joka vetää arg1:tä	NULL
vetäistä	1	1	Entity or thing drawn	NULL	Taho tai asia, jota vedetään	NULL
vetäistä	1	2	DIR	direction or goal	DIR	suunta tai päätepiste
vetäytyä	1	0	Entity withdrawing (oneself)	NULL	Taho, joka vetäytyy	NULL
vetäytyä	1	2	Source	NULL	Alkutila	NULL
vetäytyä	1	3	Destination	NULL	Lopputila	NULL
vetää	1	0	Entity drawing arg1	NULL	Taho, joka vetää arg1:tä	NULL
vetää	1	1	Entity or thing drawn	NULL	Taho tai asia, jota vedetään	NULL
vetää	1	2	DIR	direction or goal	DIR	suunta tai päätepiste
vetää	2	1	Entity containing something	NULL	Esine tai asia, jossa jotain on	NULL
vetää	2	2	Thing contained in arg1	NULL	Asia, joka mahtuu arg1:een	NULL
vetää	3	0	Entity in charge	NULL	Johtava taho	NULL
vetää	3	1	Thing being lead	E.g. a meeting	Johdettava asia	Esim. kokous
vetää	4	0	Creature consuming substance	NULL	Olio, joka nauttii ainetta	NULL
vetää	4	1	Substance consumed	Note: can be air	Nautittava aine	Voi olla ilmaa
vetää	5	0	Entity who does something	NULL	Taho, joka tekee	NULL
vetää	5	1	Thing done	NULL	Tehty asia	NULL
vetää	6	2	LOC	NULL	LOC	NULL
viedä	1	0	Entity or thing taking arg1	Agent or causer	Taho tai asia, joka vie arg1:n	Agentti tai aiheuttaja
viedä	1	1	Entity being taken	NULL	Taho, joka viedään	NULL
viedä	1	2	Source, taken from	NULL	Lähtökohta, mistä viedään	NULL
viedä	1	3	Destination, taken to	NULL	Määränpää, minne viedään	NULL
viedä	2	1	Thing that lasts	NULL	Asia, joka jatkuu	NULL
viedä	2	2	Period of time	NULL	Ajanjakso	NULL
viedä	3	0	Creature or disease killing	NULL	Olio tai tauti, joka tappaa	NULL
viedä	3	1	Creature killed	NULL	Tapettu olio	NULL
viedä	3	2	Instrument	(tags: rare)	Väline	NULL
vierailla	1	0	One party	NULL	Vierailija	NULL
vierailla	1	1	Other party	NULL	Kyläpaikka	NULL
vierittää	1	0	Entity pushing	NULL	Taho, joka sysää	NULL
vierittää	1	1	Thing pushed	NULL	Asia, joka sysätään	NULL
vierittää	1	2	Where-to	NULL	Minne sysätään	NULL
viestittää	1	0	Entity signalling	NULL	Taho, joka viestittää	NULL
viestittää	1	1	Message	NULL	Viesti	NULL
viestittää	1	2	Seer, recipient	NULL	Vastaanottaja	NULL
viestiä	1	0	Entity signalling	NULL	Taho, joka viestii	NULL
viestiä	1	1	Thing signalled	NULL	Asia, josta viestitään	NULL
viestiä	1	2	Recipient	NULL	Viestinnän vastaanottaja	NULL
vietellä	1	0	Entity spending time	NULL	Taho, joka kuluttaa aikaa	NULL
vietellä	1	1	Time spent	Can be time unit or other: "vietin tunnin tätä pohtien" (I spent an hour thinking of this) vs. "vietin kesälomani Oulussa" (I spent my summer vacation in Oulu)	Aika, joka vietetään	Voi olla ajan yksikkö tai muu: "vietin tunnin tätä pohtien" vrt. "vietin kesälomani Oulussa"
vietellä	1	2	Activity	NULL	Toiminta	NULL
viettää	1	0	Entity celebrating something	NULL	Taho, joka juhlii	NULL
viettää	1	1	Reason to celebrate	NULL	Juhlittava asia	NULL
viettää	2	0	Entity spending time	NULL	Taho, joka kuluttaa aikaa	NULL
